cuenta;codProducto;fecha;monto;escenario
40000_0;400;31/01/2016;347625854;actuals
40000_0;400;28/02/2016;303771476;actuals
40000_0;400;31/03/2016;393249164;actuals
40000_0;400;30/04/2016;305281189;actuals
40000_0;400;31/05/2016;336335847;actuals
40000_0;400;30/06/2016;313230619;actuals
40000_0;400;31/07/2016;314807319;actuals
40000_0;400;31/08/2016;356217656;actuals
40000_0;400;30/09/2016;245538795;actuals
40000_0;400;31/10/2016;342105452;actuals
40000_0;400;30/11/2016;233208859;actuals
40000_0;400;31/12/2016;281036085;actuals
40100_2;400;31/01/2016;122976;actuals
40100_2;400;28/02/2016;240000;actuals
40100_2;400;31/03/2016;200000;actuals
40100_2;400;30/04/2016;360000;actuals
40100_2;400;31/05/2016;0;actuals
40100_2;400;30/06/2016;0;actuals
40100_2;400;31/07/2016;0;actuals
40100_2;400;31/08/2016;0;actuals
40100_2;400;30/09/2016;0;actuals
40100_2;400;31/10/2016;0;actuals
40100_2;400;30/11/2016;0;actuals
40100_2;400;31/12/2016;0;actuals
42000_4;400;31/01/2016;0;actuals
42000_4;400;28/02/2016;-788576;actuals
42000_4;400;31/03/2016;0;actuals
42000_4;400;30/04/2016;0;actuals
42000_4;400;31/05/2016;0;actuals
42000_4;400;30/06/2016;185425;actuals
42000_4;400;31/07/2016;-3136842;actuals
42000_4;400;31/08/2016;3616540;actuals
42000_4;400;30/09/2016;0;actuals
42000_4;400;31/10/2016;0;actuals
42000_4;400;30/11/2016;0;actuals
42000_4;400;31/12/2016;-2878085;actuals
45100;400;31/01/2016;647702;actuals
45100;400;28/02/2016;6008862;actuals
45100;400;31/03/2016;219124;actuals
45100;400;30/04/2016;1345458;actuals
45100;400;31/05/2016;265885;actuals
45100;400;30/06/2016;471642;actuals
45100;400;31/07/2016;239992;actuals
45100;400;31/08/2016;3606530;actuals
45100;400;30/09/2016;1739718;actuals
45100;400;31/10/2016;3815214;actuals
45100;400;30/11/2016;18579338;actuals
45100;400;31/12/2016;2006254;actuals
50100_1;400;31/01/2016;-2946443;actuals
50100_1;400;28/02/2016;-1328034;actuals
50100_1;400;31/03/2016;-2784695;actuals
50100_1;400;30/04/2016;-2442080;actuals
50100_1;400;31/05/2016;-6567140;actuals
50100_1;400;30/06/2016;-2865143;actuals
50100_1;400;31/07/2016;27725144;actuals
50100_1;400;31/08/2016;-1562941;actuals
50100_1;400;30/09/2016;-1472535;actuals
50100_1;400;31/10/2016;-1270389;actuals
50100_1;400;30/11/2016;-7279927;actuals
50100_1;400;31/12/2016;-2260370;actuals
50100_5;400;31/01/2016;20328356;actuals
50100_5;400;28/02/2016;1007144;actuals
50100_5;400;31/03/2016;21253298;actuals
50100_5;400;30/04/2016;-83206;actuals
50100_5;400;31/05/2016;387100;actuals
50100_5;400;30/06/2016;8566119;actuals
50100_5;400;31/07/2016;13404444;actuals
50100_5;400;31/08/2016;6640608;actuals
50100_5;400;30/09/2016;4038178;actuals
50100_5;400;31/10/2016;2887011;actuals
50100_5;400;30/11/2016;6398146;actuals
50100_5;400;31/12/2016;3709199;actuals
